StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q30,Q31,Q32,Q33,Q156,Q155,Q37,Q36,Q35,Q40,Q41,Q42,Q52,Q44,Q45,Q49,Q50,Q51,Q53,Q54,Q55,Q57,Q58,Q59,Q61,Q62,Q63,Q79,Q80,Q81,Q81,Q82,Q83,Q160,Q84,Q93,Q94,Q95,Q159,Q96,Q92,Q94,Q95,Q96,Q97,Q99,Q100,Q101,Q102,Q103,Q105,Q106,Q107,Q108,Q109,Q122,Q123,Q124,Q125,Q127,Q126,Q129,Q130,Q131,Q132,Q134,Q135,Q136,Q137,Q138,Q139,Q141,Q142,Q143,Q144,Q134,Q160,Q135,Q118 - Topics
2019-05-20 02:53:54,2019-05-20 03:03:28,IP Address,,100,574,True,2019-05-20 03:03:45,R_2f3hfWuOm7nAuGa,,,,,,,anonymous,HE,,27,4,כן,תואר ראשון,4,כן,"Int game_level(int rows, int columns, int mokshim_num)",Game_time,Cube_mokesh,חושף מה יש בתא הספציפי,,,,,,,,,,,,מחזיר את השכר שעובד צריך לקבל,לדעת כמה שעות עבודה,קצב אכילה,Return hours*rate,Full_time_hours,,,,,,,,,,,,,,,,,,,,,Game_board,לשים צורה בתא הספציפי,מספר שורה,מספר עמודה,Display_game(board game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,כן,לא,כן,
2019-05-20 03:05:07,2019-05-20 03:21:52,IP Address,,100,1004,True,2019-05-20 03:21:52,R_3mklkKJFMZXQzzZ,,,,,,,anonymous,HE,זכר,26,4,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,board,"לסימון איקס או עיגול במיקום row, col",מייצג מספר שורה,מייצג מספר עמודה,board_display,size,arrenges the files alphabetically in files data structure,"array, list, something like that. ","void if its a reference, otherwise it returns the new sorted data structure",can_increase_space,,,,,,,,,,,,בודק לפי המיקום הנוכחי והיעד המבוקש לאיזה כיוון וכמה קומות צריך לנוע,destination_floor,current_floor,distance,door_state,"עבור i מ0 עד קומה_אחרונה-1 בצע
       מצב_דלת =1
       מצב_דלת = 0
       עלה(1)
מצב דלת =1
מצב דלת=0
       ",,,,,,,,,כן,לא,לא,
2019-05-20 03:55:58,2019-05-20 04:40:55,IP Address,,100,2696,True,2019-05-20 04:40:56,R_pxWJhiUj5R7XnhL,,,,,,,anonymous,HE,נקבה,26,4,כן,תואר ראשון,4,,,,,,,,,,,מוציא שכר לפי דירוג ומס שעות עבודה,מספר שעות עבודה,שכר לשעה,שעה כפול דירוג,סף ,Extra_rate,,,,,,,,,,,,,,,,Wining,Player make is turn in the game,The row the player chose on the board,The colum the player chose on the board,"(Create_board(int row,int col",,,,,,,,,,,,,,,,,,,,,,,,,,,מחליט האם עולים או יורדים ומחשב את מספר הקומות,Current_floor,Next_floor,Num_floors,Door_staye,,,,,,,,,,כן,לא,כן,
2019-05-20 04:19:48,2019-05-20 04:56:53,IP Address,,100,2224,True,2019-05-20 04:56:53,R_3rMpCU1m2GdZvaP,,,,,,,anonymous,HE,נקבה,26,3,כן,תואר ראשון,3,,,,,,Yes,"get_difficulty(int grid_size, int num_of_mines)",game_time,board_description,מקבלת שורה ועמודה ועושה שם את הפיצוץ,,,,,,,,,,,,,,,,,,,,,,,,,,,grid_current_state,מקבלת שורה ועמודה ומזיזה לשם את הסמן,מספר השורה שאליה נראה להזיז את הסמן,מספר העמודה שאליה נראה להזיז את הסמן,display_grid(),,,,,,,,,,,file_size,"לסדר את כל הקבצים שהפונקציה קיבלה לפי סדר הא""ב של השם שלהם",התפקיד שלו זה לתת את הקבצים שאותם נראה לסדר והטיפוס שלו הוא רשימה של קבצים,"רשימה של הקבצים שהיא קיבלה לאחר שהם מסודרים לפי הא""ב של השם שלהם","update_file_size(File file, int increase_by, int disk_free_space)",,,,,,,,,,,,,,,,,,,,,לא,,לא,
2019-05-19 08:38:38,2019-05-19 08:38:54,IP Address,,67,16,False,2019-05-20 08:40:00,R_xDFjdFEf6G6qk7f,,,,,,,anonymous,HE,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-19 08:48:12,2019-05-19 08:49:07,IP Address,,62,54,False,2019-05-20 08:49:22,R_3O1j1wKMSEw1nDT,,,,,,,anonymous,HE,זכר,28,2,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-19 08:47:10,2019-05-19 08:49:09,IP Address,,72,118,False,2019-05-20 08:49:46,R_1hL5hfYMHP9DmPI,,,,,,,anonymous,HE,נקבה,27,7,כן,תואר ראשון,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-19 09:20:16,2019-05-19 09:21:33,IP Address,,68,76,False,2019-05-20 09:21:40,R_xztaVxU6E0IgnUR,,,,,,,anonymous,HE,זכר,27,3,כן,תואר ראשון,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-20 15:23:35,2019-05-20 15:42:01,IP Address,,100,1105,True,2019-05-20 15:42:01,R_1i3QQCU1RCoOI26,,,,,,,anonymous,HE,נקבה,25,3,כן,תואר ראשון,4,,,,,,No,"get_difficulty(size, mines_num)-> difficulty_level",game_duration,board_params,expose specific square on the board,,,,,,,,,,,,,,,,,,,,,,,,,,,Board,pick symbol of the curr player at a specific position on the board,the x position,the y position,display_board(),,,,,,,,,,,,,,,,gets the elavatoe up or down to specific position,next_up_position,curr_position,next_down_position,door_position,"for floor in range(high_level):
open_door(floor)
close_door(floor)",,,,,,,,,,,,,,,לא,,לא,
2019-05-21 05:29:57,2019-05-21 05:47:07,IP Address,,100,1029,True,2019-05-21 05:47:07,R_12i0JARlfFjXhB5,,,,,,,anonymous,HE,זכר,27,1,כן,תואר ראשון,3,,,,,,Yes,"(Level getGameLevel(int size, int numberOfMines",gameTime,squaresContent,gui expose the requested  square,,,,,,,pays an employ the requested salary,how many working hours the worker has,employee fixed hourly payment,"void pay(double hours, double rate)
this->bankAccount->transfer(hours*rate)",requiredWeeklyHours,employeeWeeklyOvertimePayment,,,,cheeseTempLocation,columbusVistedTracks,columbusMaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,לא,,לא,
2019-05-21 05:43:05,2019-05-21 06:01:44,IP Address,,100,1118,True,2019-05-21 06:01:45,R_6PWv24QQTZ8Widz,,,,,,,anonymous,HE,זכר,19,5,לא,,,,,,,,Yes,"GameInfo CreateGame(int row, int col, int mines",GameTime,NumberOfAdjacentMines,"Return the previous question info about [row, col]",,,,,,,Calculate the wage,The number of working hours,An employee hourly wage,"Pay(h, r){
Return h*r
}",FulltimeHoursRequirment,OvertimeHours,,,,,,,,,,,,,,,GridInfo CurrentInfo,"Change the [row, cal] space to the current player Shape",Indicates the row the player chose,Indicates the column the player chose,DisplayGrid(GridInfo grid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,כן,לא,כן,
2019-05-21 05:37:49,2019-05-21 06:04:21,IP Address,,100,1591,True,2019-05-21 06:04:21,R_1dhNnvMtChehWUf,,,,,,,anonymous,HE,נקבה,17,2,לא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file_size,Arranges the files in alphabetical order by their name,"The parameter gives the files to sort, the type is maybe a list or a vector of the File class",A list or vector of the sorted files,"bool is_available_space_disc(File file, int increse_file_by, int available_space_disc)",,,,,,,,,,,,מחליט אם המעלית צריכה לעלות או לרדת וקורא לפונקציה המתאימה עם מספר הקומות,dest_floor,curr_floor,amount_floors_to_move,door_state,"for (int i = 0; i < num_floors; i++)
{
open_door()
close_door()
go_up(1)
}",,,,,MAX_PINUKIM_IN_MONTH,AMOUNT_MONEY_FOR_PINUK,client_amount_pinukim_earned,"bool can_client_get_pinuk(int client_amount_pinukim_earned, int client_amount_pinukim_spent)",כן,לא,כן,
2019-05-21 05:55:22,2019-05-21 06:11:50,IP Address,,100,988,True,2019-05-21 06:11:51,R_32PepcPODZVzzst,,,,,,,anonymous,HE,זכר,21,2,לא,,,כן,"Difficulty(int rows, int columns)",Time_Elapsed,Bomb_Dis,"מראה אם המשבצת בשורה ועמודה הנתון פצצה, ואם לא מראה כמה פצצות יש לידו.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board,"לשים איקס או מעגל במקום המצוין לפי השורה ועמודה, לפי התור.",לציין באיזה שורה צריך לשים את האיקס או מעגל בלוח.,לציין באיזה עמודה צריך לשים את האיקס או מעגל בלוח.,(Board board)Print_Board,Size,"Goes through a list of files, and sorts them by the name of each one alphabetically.",The parameter is a list of variables of the class file.,Returns a new list of class files sorted alphabetically.,Has_Space,,,,,,,,,,,,,,,,,,,,,,,,,,כן,לא,לא,
2019-05-21 05:57:24,2019-05-21 06:19:05,IP Address,,100,1300,True,2019-05-21 06:19:05,R_W8JqtZDO1phwiJ3,,,,,,,anonymous,HE,זכר,26,4,כן,תואר ראשון,2,,,,,,,,,,,,,,,,,,,,,,,cheese_coordinates,mouse_route,maze,,,,,,,,,,,,,,,,,,,,,,file_size,it sorts the files by the alphabetical order,"a list of the files by order, list type",the same list after being sorted,enlargement_space-available,,,,,,,,,,,,,,,,,,benefits_max,benefits_value,benefits_current,benefits_remaining,,,,,כן,לא,לא,
2019-05-21 06:42:12,2019-05-21 06:59:39,IP Address,,100,1047,True,2019-05-21 06:59:39,R_2VrsMdtfEu7pEw8,,,,,,,anonymous,HE,זכר,25,2,כן,תואר ראשון,2,,,,,,,,,,,מעלה לשכר של העובד את השכר הבא בערך hours*rate,לדעת כמה שעות עבד העובד,לדעת מה השכר השעתי של אותו עובד,"class worker{
            int salary;
            pay(int hours, int rate){
                        salary += hours * rate;
            }
}
",WEEKLY_WORKING_HOURS,OVERTIME_SALARY_ADDITION,,,,,,,cheese_position,rooms_visited,maze_map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בודק כמה קומות המעלית צריכה לעלות או לרדת כדי להגיע לקומה הרצויה.,dest_floor,current_floor,floors_to_go,is_door_open,"one_floor = 1
for every floor in floors:
       go_up(floor)",,,,,,,,,כן,לא,לא,
2019-05-21 06:41:58,2019-05-21 07:15:48,IP Address,,100,2029,True,2019-05-21 07:15:49,R_2wbON8LBJzuaYJX,,,,,,,anonymous,HE,נקבה,24,7,כן,תואר ראשון,2,,,,,,,,,,,,,,,,,calculates a worker's wage according to his hourly wage and num of hours of work,hourly wage,amount of hours working,return(hour*rate),full_time_hours_weekly,overtime_hourly_wage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"מחשב את מספר הקומות שיש לעלות או לרדת ואת הכיוון, ושולח את המעלית לשם.",src_floor,dest_floor,floor_diff,door_status,"1. for i from min_floor to max_floor:
   a. door_status = open
   b. go_up(1)
",,,,,max_perks_per_month,monthly_amount_for_perk,perks_counter,is_entitled,כן,לא,כן,
