Cell,Type,Reason,Data
O13,Variable Name,Long name,"Set a boolean var open, true if door is open, false otherwise. Put it under a while loop for continuous checking, which calls a function depending on the variable."
S13,Function Signature,Pattern mismatch,
T13,Function Signature,Pattern mismatch,
U13,Function Signature,Pattern mismatch,
W13,Function Signature,Pattern mismatch,
S14,Function Signature,Pattern mismatch,
U14,Function Signature,Pattern mismatch,
V14,Function Signature,Pattern mismatch,
S15,Function Signature,Pattern mismatch,
T15,Function Signature,Pattern mismatch,
U15,Function Signature,Pattern mismatch,
V15,Function Signature,Pattern mismatch,
W15,Function Signature,Pattern mismatch,
S16,Function Signature,Pattern mismatch,
T16,Function Signature,Pattern mismatch,
U16,Function Signature,Pattern mismatch,
V16,Function Signature,Pattern mismatch,
W16,Function Signature,Pattern mismatch,
S17,Function Signature,Pattern mismatch,
T17,Function Signature,Pattern mismatch,
U17,Function Signature,Pattern mismatch,
V17,Function Signature,Pattern mismatch,
W17,Function Signature,Pattern mismatch,
S18,Function Signature,Pattern mismatch,
T18,Function Signature,Pattern mismatch,
U18,Function Signature,Pattern mismatch,
V18,Function Signature,Pattern mismatch,
W18,Function Signature,Pattern mismatch,
S19,Function Signature,Pattern mismatch,
T19,Function Signature,Pattern mismatch,
U19,Function Signature,Pattern mismatch,
V19,Function Signature,Pattern mismatch,
W19,Function Signature,Pattern mismatch,
S20,Function Signature,Pattern mismatch,
T20,Function Signature,Pattern mismatch,
U20,Function Signature,Pattern mismatch,
V20,Function Signature,Pattern mismatch,
W20,Function Signature,Pattern mismatch,
S21,Function Signature,Pattern mismatch,
T21,Function Signature,Pattern mismatch,
U21,Function Signature,Pattern mismatch,
V21,Function Signature,Pattern mismatch,
W21,Function Signature,Pattern mismatch,
S22,Function Signature,Pattern mismatch,
T22,Function Signature,Pattern mismatch,
U22,Function Signature,Pattern mismatch,
V22,Function Signature,Pattern mismatch,
W22,Function Signature,Pattern mismatch,
S23,Function Signature,Pattern mismatch,
T23,Function Signature,Pattern mismatch,
U23,Function Signature,Pattern mismatch,
V23,Function Signature,Pattern mismatch,
W23,Function Signature,Pattern mismatch,
S24,Function Signature,Pattern mismatch,
T24,Function Signature,Pattern mismatch,
U24,Function Signature,Pattern mismatch,
V24,Function Signature,Pattern mismatch,
W24,Function Signature,Pattern mismatch,
S25,Function Signature,Pattern mismatch,
T25,Function Signature,Pattern mismatch,
U25,Function Signature,Pattern mismatch,
V25,Function Signature,Pattern mismatch,
W25,Function Signature,Pattern mismatch,
S26,Function Signature,Pattern mismatch,
T26,Function Signature,Pattern mismatch,
U26,Function Signature,Pattern mismatch,
V26,Function Signature,Pattern mismatch,
W26,Function Signature,Pattern mismatch,
S27,Function Signature,Pattern mismatch,
T27,Function Signature,Pattern mismatch,
U27,Function Signature,Pattern mismatch,
V27,Function Signature,Pattern mismatch,
W27,Function Signature,Pattern mismatch,
S28,Function Signature,Pattern mismatch,
T28,Function Signature,Pattern mismatch,
U28,Function Signature,Pattern mismatch,
V28,Function Signature,Pattern mismatch,
W28,Function Signature,Pattern mismatch,
S29,Function Signature,Pattern mismatch,
T29,Function Signature,Pattern mismatch,
U29,Function Signature,Pattern mismatch,
V29,Function Signature,Pattern mismatch,
W29,Function Signature,Pattern mismatch,
S30,Function Signature,Pattern mismatch,
T30,Function Signature,Pattern mismatch,
U30,Function Signature,Pattern mismatch,
V30,Function Signature,Pattern mismatch,
W30,Function Signature,Pattern mismatch,
S31,Function Signature,Pattern mismatch,
T31,Function Signature,Pattern mismatch,
U31,Function Signature,Pattern mismatch,
V31,Function Signature,Pattern mismatch,
W31,Function Signature,Pattern mismatch,
S32,Function Signature,Pattern mismatch,
T32,Function Signature,Pattern mismatch,
U32,Function Signature,Pattern mismatch,
V32,Function Signature,Pattern mismatch,
W32,Function Signature,Pattern mismatch,
S33,Function Signature,Pattern mismatch,
T33,Function Signature,Pattern mismatch,
U33,Function Signature,Pattern mismatch,
V33,Function Signature,Pattern mismatch,
W33,Function Signature,Pattern mismatch,
S34,Function Signature,Pattern mismatch,
T34,Function Signature,Pattern mismatch,
U34,Function Signature,Pattern mismatch,
V34,Function Signature,Pattern mismatch,
W34,Function Signature,Pattern mismatch,
S35,Function Signature,Pattern mismatch,
T35,Function Signature,Pattern mismatch,
U35,Function Signature,Pattern mismatch,
V35,Function Signature,Pattern mismatch,
W35,Function Signature,Pattern mismatch,
P36,Variable Name,"Special character: "" """,Monthly benefits 
Q36,Variable Name,"Special character: "" """,Billed amount per benefit
R36,Variable Name,"Special character: "" """,Benefit entitlement 
S36,Function Signature,Pattern mismatch,
T36,Function Signature,Pattern mismatch,
U36,Function Signature,Pattern mismatch,
V36,Function Signature,Pattern mismatch,
W36,Function Signature,Pattern mismatch,"Fun benefit balance( entitled, redeemed)...return balance"
S37,Function Signature,Pattern mismatch,
T37,Function Signature,Pattern mismatch,
U37,Function Signature,Pattern mismatch,
V37,Function Signature,Pattern mismatch,
W37,Function Signature,Pattern mismatch,
S38,Function Signature,Pattern mismatch,
T38,Function Signature,Pattern mismatch,
U38,Function Signature,Pattern mismatch,
V38,Function Signature,Pattern mismatch,
W38,Function Signature,Pattern mismatch,
S39,Function Signature,Pattern mismatch,
T39,Function Signature,Pattern mismatch,
U39,Function Signature,Pattern mismatch,
V39,Function Signature,Pattern mismatch,
W39,Function Signature,Pattern mismatch,
S40,Function Signature,Pattern mismatch,
T40,Function Signature,Pattern mismatch,
U40,Function Signature,Pattern mismatch,
V40,Function Signature,Pattern mismatch,
W40,Function Signature,Pattern mismatch,
S41,Function Signature,Pattern mismatch,
T41,Function Signature,Pattern mismatch,
U41,Function Signature,Pattern mismatch,
V41,Function Signature,Pattern mismatch,
W41,Function Signature,Pattern mismatch,
S42,Function Signature,Pattern mismatch,
W42,Function Signature,Pattern mismatch,
S43,Function Signature,Pattern mismatch,
T43,Function Signature,Pattern mismatch,
V43,Function Signature,Pattern mismatch,
S44,Function Signature,Pattern mismatch,
T44,Function Signature,Pattern mismatch,
U44,Function Signature,Pattern mismatch,
V44,Function Signature,Pattern mismatch,
W44,Function Signature,Pattern mismatch,
S45,Function Signature,Pattern mismatch,
T45,Function Signature,Pattern mismatch,
V45,Function Signature,Pattern mismatch,
T46,Function Signature,Pattern mismatch,
V46,Function Signature,Pattern mismatch,
S47,Function Signature,Pattern mismatch,
T47,Function Signature,Pattern mismatch,
U47,Function Signature,Pattern mismatch,
V47,Function Signature,Pattern mismatch,
W47,Function Signature,Pattern mismatch,
H48,Variable Name,"Special character: "" """,Linked list
I48,Variable Name,"Special character: "" """,2D list/array
T48,Function Signature,Pattern mismatch,
U48,Function Signature,Pattern mismatch,
W48,Function Signature,Pattern mismatch,
S49,Function Signature,Pattern mismatch,
T49,Function Signature,Pattern mismatch,
U49,Function Signature,Pattern mismatch,
V49,Function Signature,Pattern mismatch,
W49,Function Signature,Pattern mismatch,
S50,Function Signature,Pattern mismatch,
T50,Function Signature,Pattern mismatch,
U50,Function Signature,Pattern mismatch,
V50,Function Signature,Pattern mismatch,
W50,Function Signature,Pattern mismatch,
O51,Variable Name,"Special character: "" """,flag door_status
S51,Function Signature,Pattern mismatch,
T51,Function Signature,Pattern mismatch,
W51,Function Signature,Pattern mismatch,
S52,Function Signature,Pattern mismatch,
T52,Function Signature,Pattern mismatch,
U52,Function Signature,Pattern mismatch,
V52,Function Signature,Pattern mismatch,
W52,Function Signature,Pattern mismatch,
S53,Function Signature,Pattern mismatch,
T53,Function Signature,Pattern mismatch,
U53,Function Signature,Pattern mismatch,
V53,Function Signature,Pattern mismatch,
W53,Function Signature,Pattern mismatch,
S54,Function Signature,Pattern mismatch,
T54,Function Signature,Pattern mismatch,
U54,Function Signature,Pattern mismatch,
V54,Function Signature,Pattern mismatch,
W54,Function Signature,Pattern mismatch,
S55,Function Signature,Pattern mismatch,
T55,Function Signature,Pattern mismatch,
U55,Function Signature,Pattern mismatch,
V55,Function Signature,Pattern mismatch,
W55,Function Signature,Pattern mismatch,
S56,Function Signature,Pattern mismatch,
T56,Function Signature,Pattern mismatch,
U56,Function Signature,Pattern mismatch,
V56,Function Signature,Pattern mismatch,
W56,Function Signature,Pattern mismatch,
S57,Function Signature,Pattern mismatch,
T57,Function Signature,Pattern mismatch,
U57,Function Signature,Pattern mismatch,
V57,Function Signature,Pattern mismatch,
W57,Function Signature,Pattern mismatch,
S58,Function Signature,Pattern mismatch,
T58,Function Signature,Pattern mismatch,
U58,Function Signature,Pattern mismatch,
V58,Function Signature,Pattern mismatch,
W58,Function Signature,Pattern mismatch,
S59,Function Signature,Pattern mismatch,
T59,Function Signature,Pattern mismatch,
U59,Function Signature,Pattern mismatch,
V59,Function Signature,Pattern mismatch,
W59,Function Signature,Pattern mismatch,
S60,Function Signature,Pattern mismatch,
T60,Function Signature,Pattern mismatch,
U60,Function Signature,Pattern mismatch,
V60,Function Signature,Pattern mismatch,
W60,Function Signature,Pattern mismatch,
S61,Function Signature,Pattern mismatch,
T61,Function Signature,Pattern mismatch,
U61,Function Signature,Pattern mismatch,
V61,Function Signature,Pattern mismatch,
W61,Function Signature,Pattern mismatch,
S62,Function Signature,Pattern mismatch,
T62,Function Signature,Pattern mismatch,
U62,Function Signature,Pattern mismatch,
V62,Function Signature,Pattern mismatch,
W62,Function Signature,Pattern mismatch,
S63,Function Signature,Pattern mismatch,
T63,Function Signature,Pattern mismatch,
U63,Function Signature,Pattern mismatch,
V63,Function Signature,Long name,"getNumberOfProducibleSandwiches(numBiscuits: number, cupsIceCream: number, wrappingPapers: number): number;"
W63,Function Signature,Pattern mismatch,
S64,Function Signature,Pattern mismatch,
T64,Function Signature,Pattern mismatch,
U64,Function Signature,Pattern mismatch,
V64,Function Signature,Pattern mismatch,
W64,Function Signature,Pattern mismatch,
S65,Function Signature,Pattern mismatch,
T65,Function Signature,Pattern mismatch,
V65,Function Signature,Pattern mismatch,
W65,Function Signature,Pattern mismatch,
S66,Function Signature,Pattern mismatch,
T66,Function Signature,Pattern mismatch,
U66,Function Signature,Pattern mismatch,
V66,Function Signature,Pattern mismatch,
W66,Function Signature,Pattern mismatch,
S67,Function Signature,Pattern mismatch,
T67,Function Signature,Pattern mismatch,
U67,Function Signature,Pattern mismatch,
V67,Function Signature,Pattern mismatch,
W67,Function Signature,Pattern mismatch,
S68,Function Signature,Pattern mismatch,
T68,Function Signature,Pattern mismatch,
U68,Function Signature,Pattern mismatch,
V68,Function Signature,Pattern mismatch,
W68,Function Signature,Pattern mismatch,
J69,Variable Name,Long name,Attach variables and coordinates to each block on the grid and declare the winning patterns. If any winning pattern ends up with all X or all O then that player wins
S69,Function Signature,Pattern mismatch,
U69,Function Signature,Pattern mismatch,
V69,Function Signature,Pattern mismatch,
W69,Function Signature,Pattern mismatch,
S70,Function Signature,Pattern mismatch,
T70,Function Signature,Pattern mismatch,
U70,Function Signature,Pattern mismatch,
V70,Function Signature,Pattern mismatch,
W70,Function Signature,Pattern mismatch,
S71,Function Signature,Pattern mismatch,
T71,Function Signature,Pattern mismatch,
U71,Function Signature,Pattern mismatch,
V71,Function Signature,Pattern mismatch,
W71,Function Signature,Pattern mismatch,
S72,Function Signature,Pattern mismatch,
T72,Function Signature,Pattern mismatch,
U72,Function Signature,Pattern mismatch,
V72,Function Signature,Pattern mismatch,
W72,Function Signature,Pattern mismatch,
S73,Function Signature,Pattern mismatch,
T73,Function Signature,Pattern mismatch,
U73,Function Signature,Pattern mismatch,
V73,Function Signature,Pattern mismatch,
W73,Function Signature,Pattern mismatch,
S74,Function Signature,Pattern mismatch,
T74,Function Signature,Pattern mismatch,
U74,Function Signature,Pattern mismatch,
V74,Function Signature,Pattern mismatch,
W74,Function Signature,Pattern mismatch,
S75,Function Signature,Pattern mismatch,
T75,Function Signature,Pattern mismatch,
U75,Function Signature,Pattern mismatch,
V75,Function Signature,Pattern mismatch,
W75,Function Signature,Pattern mismatch,
S76,Function Signature,Pattern mismatch,
T76,Function Signature,Pattern mismatch,
U76,Function Signature,Pattern mismatch,
V76,Function Signature,Pattern mismatch,
W76,Function Signature,Pattern mismatch,
S77,Function Signature,Pattern mismatch,
T77,Function Signature,Pattern mismatch,
U77,Function Signature,Pattern mismatch,
V77,Function Signature,Pattern mismatch,
W77,Function Signature,Pattern mismatch,
S78,Function Signature,Pattern mismatch,
T78,Function Signature,Pattern mismatch,
U78,Function Signature,Pattern mismatch,
V78,Function Signature,Pattern mismatch,
W78,Function Signature,Pattern mismatch,
S79,Function Signature,Pattern mismatch,
T79,Function Signature,Pattern mismatch,
U79,Function Signature,Pattern mismatch,
V79,Function Signature,Pattern mismatch,
W79,Function Signature,Pattern mismatch,
