Cell,Type,Reason,Data
S16,Function Signature,Pattern mismatch,
T16,Function Signature,Pattern mismatch,
U16,Function Signature,Pattern mismatch,
V16,Function Signature,Pattern mismatch,
W16,Function Signature,Pattern mismatch,
T17,Function Signature,Pattern mismatch,
V17,Function Signature,Pattern mismatch,
S18,Function Signature,Pattern mismatch,
T18,Function Signature,Pattern mismatch,
U18,Function Signature,Pattern mismatch,
V18,Function Signature,Pattern mismatch,
W18,Function Signature,Pattern mismatch,
F19,Variable Name,Long name,cheeseLocation or prizeLocation or cheesePos or prizePos or targetPos or tgtPos or goalPos
G19,Variable Name,Long name,"visitedLocation or visitedLoc, or visitedPos, or usedCells"
H19,Variable Name,Long name,labyrinth or maze or map or gameMap or level
S19,Function Signature,Pattern mismatch,
T19,Function Signature,Pattern mismatch,
U19,Function Signature,Pattern mismatch,
V19,Function Signature,Pattern mismatch,
W19,Function Signature,Pattern mismatch,
T20,Function Signature,Pattern mismatch,
U20,Function Signature,Pattern mismatch,
V20,Function Signature,Pattern mismatch,
W20,Function Signature,Pattern mismatch,
S21,Function Signature,Pattern mismatch,
T21,Function Signature,Pattern mismatch,
V21,Function Signature,Pattern mismatch,
S22,Function Signature,Pattern mismatch,
T22,Function Signature,Pattern mismatch,
U22,Function Signature,Pattern mismatch,
V22,Function Signature,Pattern mismatch,
W22,Function Signature,Pattern mismatch,
S23,Function Signature,Pattern mismatch,
T23,Function Signature,Pattern mismatch,
U23,Function Signature,Pattern mismatch,
V23,Function Signature,Pattern mismatch,
W23,Function Signature,Pattern mismatch,
S24,Function Signature,Pattern mismatch,
T24,Function Signature,Pattern mismatch,
U24,Function Signature,Pattern mismatch,
W24,Function Signature,Pattern mismatch,
S25,Function Signature,Pattern mismatch,
T25,Function Signature,Pattern mismatch,
U25,Function Signature,Pattern mismatch,
V25,Function Signature,Pattern mismatch,
W25,Function Signature,Pattern mismatch,
S26,Function Signature,Pattern mismatch,
T26,Function Signature,Pattern mismatch,
V26,Function Signature,Pattern mismatch,
W26,Function Signature,Pattern mismatch,
S27,Function Signature,Pattern mismatch,
T27,Function Signature,Pattern mismatch,
U27,Function Signature,Pattern mismatch,
V27,Function Signature,Pattern mismatch,
T28,Function Signature,Pattern mismatch,
U28,Function Signature,Pattern mismatch,
V28,Function Signature,Pattern mismatch,
W28,Function Signature,Pattern mismatch,
S29,Function Signature,Pattern mismatch,
T29,Function Signature,Pattern mismatch,
U29,Function Signature,Pattern mismatch,
W29,Function Signature,Pattern mismatch,
S30,Function Signature,Pattern mismatch,
T30,Function Signature,Pattern mismatch,
U30,Function Signature,Pattern mismatch,
V30,Function Signature,Pattern mismatch,
W30,Function Signature,Pattern mismatch,
S31,Function Signature,Pattern mismatch,
T31,Function Signature,Pattern mismatch,
U31,Function Signature,Pattern mismatch,
V31,Function Signature,Pattern mismatch,
W31,Function Signature,Pattern mismatch,
R32,Variable Name,Long name,benefits_entitlement_current_month
S32,Function Signature,Pattern mismatch,
T32,Function Signature,Pattern mismatch,
V32,Function Signature,Long name,"number_of_sandwiches (int number_of_biscuits, int cups_of_ice_cream, int wrapping_paper_in_square_meters)"
S33,Function Signature,Pattern mismatch,
T33,Function Signature,Pattern mismatch,
V33,Function Signature,Pattern mismatch,
T34,Function Signature,Pattern mismatch,
U34,Function Signature,Pattern mismatch,
W34,Function Signature,Pattern mismatch,
S35,Function Signature,Pattern mismatch,
U35,Function Signature,Pattern mismatch,
V35,Function Signature,Pattern mismatch,
W35,Function Signature,Pattern mismatch,
S36,Function Signature,Pattern mismatch,
T36,Function Signature,Pattern mismatch,
U36,Function Signature,Pattern mismatch,
V36,Function Signature,Pattern mismatch,
W36,Function Signature,Pattern mismatch,
S37,Function Signature,Pattern mismatch,"Bool draw(const Board* b,const unsigned int N, const unsigned int M)"
T37,Function Signature,Pattern mismatch,
U37,Function Signature,Pattern mismatch,
V37,Function Signature,Pattern mismatch,
W37,Function Signature,Pattern mismatch,
S38,Function Signature,Pattern mismatch,
T38,Function Signature,Pattern mismatch,
U38,Function Signature,Pattern mismatch,
V38,Function Signature,Pattern mismatch,
W38,Function Signature,Pattern mismatch,
S39,Function Signature,Pattern mismatch,
T39,Function Signature,Pattern mismatch,
U39,Function Signature,Pattern mismatch,
V39,Function Signature,Pattern mismatch,
W39,Function Signature,Pattern mismatch,
S40,Function Signature,Pattern mismatch,
T40,Function Signature,Pattern mismatch,
U40,Function Signature,Pattern mismatch,
V40,Function Signature,Pattern mismatch,
W40,Function Signature,Pattern mismatch,
S41,Function Signature,Pattern mismatch,"Display_game_Board(Board game_Board, UserOutput useroutput"
T41,Function Signature,Pattern mismatch,
U41,Function Signature,Pattern mismatch,
V41,Function Signature,Pattern mismatch,
W41,Function Signature,Pattern mismatch,
S42,Function Signature,Pattern mismatch,
T42,Function Signature,Pattern mismatch,
V42,Function Signature,Pattern mismatch,
S43,Function Signature,"Special character: ""&""",List<List<string>> getBoard()
T43,Function Signature,Pattern mismatch,
U43,Function Signature,Pattern mismatch,
V43,Function Signature,Pattern mismatch,
S44,Function Signature,Pattern mismatch,
T44,Function Signature,Pattern mismatch,
W44,Function Signature,Pattern mismatch,
G45,Variable Name,"Special character: "" """,visited_map - a 2D array
H45,Variable Name,"Special character: "" """,a 2D array
S45,Function Signature,Pattern mismatch,
T45,Function Signature,Pattern mismatch,
V45,Function Signature,Pattern mismatch,
W45,Function Signature,Pattern mismatch,
S46,Function Signature,Pattern mismatch,
T46,Function Signature,Pattern mismatch,
U46,Function Signature,Pattern mismatch,
W46,Function Signature,Pattern mismatch,
T47,Function Signature,Pattern mismatch,
U47,Function Signature,Pattern mismatch,
V47,Function Signature,Pattern mismatch,
W47,Function Signature,Pattern mismatch,
S48,Function Signature,Pattern mismatch,
T48,Function Signature,Pattern mismatch,
U48,Function Signature,Pattern mismatch,
V48,Function Signature,Pattern mismatch,
W48,Function Signature,Pattern mismatch,
S49,Function Signature,Pattern mismatch,
T49,Function Signature,Pattern mismatch,
U49,Function Signature,Pattern mismatch,
V49,Function Signature,Pattern mismatch,
S50,Function Signature,Pattern mismatch,
T50,Function Signature,Pattern mismatch,
U50,Function Signature,Pattern mismatch,
V50,Function Signature,Pattern mismatch,
W50,Function Signature,Pattern mismatch,
S51,Function Signature,Pattern mismatch,
T51,Function Signature,Pattern mismatch,
V51,Function Signature,Pattern mismatch,
W51,Function Signature,Pattern mismatch,
S52,Function Signature,Pattern mismatch,
T52,Function Signature,Pattern mismatch,
U52,Function Signature,Pattern mismatch,
V52,Function Signature,Pattern mismatch,
W52,Function Signature,Pattern mismatch,
S53,Function Signature,Pattern mismatch,
T53,Function Signature,Pattern mismatch,
U53,Function Signature,Pattern mismatch,
V53,Function Signature,Pattern mismatch,
W53,Function Signature,Pattern mismatch,
S54,Function Signature,Pattern mismatch,
T54,Function Signature,Pattern mismatch,
U54,Function Signature,Pattern mismatch,
W54,Function Signature,Pattern mismatch,
F55,Variable Name,"Special character: "" """,room curCheeseRoom
G55,Variable Name,"Special character: "" """,bool visited
H55,Variable Name,"Special character: ""[""",room[] Rooms
S55,Function Signature,Pattern mismatch,
T55,Function Signature,Pattern mismatch,
V55,Function Signature,Pattern mismatch,
W55,Function Signature,Pattern mismatch,
S56,Function Signature,Pattern mismatch,
T56,Function Signature,Pattern mismatch,
U56,Function Signature,Pattern mismatch,
V56,Function Signature,Pattern mismatch,
S57,Function Signature,Pattern mismatch,
T57,Function Signature,Pattern mismatch,
U57,Function Signature,Pattern mismatch,
V57,Function Signature,Pattern mismatch,
W57,Function Signature,Pattern mismatch,
S58,Function Signature,Pattern mismatch,
T58,Function Signature,Pattern mismatch,
U58,Function Signature,Pattern mismatch,
V58,Function Signature,Pattern mismatch,
W58,Function Signature,Pattern mismatch,
S59,Function Signature,Pattern mismatch,
T59,Function Signature,Pattern mismatch,
V59,Function Signature,"Special character: ""/""","min(biscuits//2, floor(vanilla/0.5), (wrapping_paper_height//20) * (wrapping_paper_width//10))"
W59,Function Signature,Pattern mismatch,
S60,Function Signature,Pattern mismatch,
T60,Function Signature,Pattern mismatch,
U60,Function Signature,Pattern mismatch,
S61,Function Signature,Pattern mismatch,
T61,Function Signature,Pattern mismatch,
U61,Function Signature,Pattern mismatch,
W61,Function Signature,Pattern mismatch,
S62,Function Signature,Pattern mismatch,
T62,Function Signature,Pattern mismatch,
V62,Function Signature,Pattern mismatch,
S63,Function Signature,Pattern mismatch,
T63,Function Signature,Pattern mismatch,
U63,Function Signature,Pattern mismatch,
V63,Function Signature,Pattern mismatch,
W63,Function Signature,Pattern mismatch,
S64,Function Signature,Pattern mismatch,
T64,Function Signature,Pattern mismatch,
U64,Function Signature,"Special character: ""@""","can_increase_file(file, size_to_@dd, availabl_space)"
V64,Function Signature,Pattern mismatch,
W64,Function Signature,Pattern mismatch,
S65,Function Signature,Pattern mismatch,
U65,Function Signature,Pattern mismatch,
V65,Function Signature,Pattern mismatch,"how_many_sandwiches(biscuits,cups of ice cream, higth paper, wigth paper)"
W65,Function Signature,Pattern mismatch,
S66,Function Signature,Pattern mismatch,
T66,Function Signature,Pattern mismatch,
U66,Function Signature,Pattern mismatch,
W66,Function Signature,Pattern mismatch,
S67,Function Signature,Pattern mismatch,
T67,Function Signature,Pattern mismatch,
U67,Function Signature,Pattern mismatch,
V67,Function Signature,Pattern mismatch,
W67,Function Signature,Pattern mismatch,
T68,Function Signature,Pattern mismatch,
V68,Function Signature,Pattern mismatch,
S69,Function Signature,Pattern mismatch,
T69,Function Signature,Pattern mismatch,
U69,Function Signature,Pattern mismatch,
V69,Function Signature,Pattern mismatch,
W69,Function Signature,Pattern mismatch,
S70,Function Signature,Pattern mismatch,
T70,Function Signature,Pattern mismatch,
U70,Function Signature,Pattern mismatch,
V70,Function Signature,Pattern mismatch,
W70,Function Signature,Pattern mismatch,
S71,Function Signature,Pattern mismatch,
T71,Function Signature,Pattern mismatch,
U71,Function Signature,Pattern mismatch,
V71,Function Signature,Pattern mismatch,
W71,Function Signature,Pattern mismatch,
S72,Function Signature,Pattern mismatch,
T72,Function Signature,Pattern mismatch,
U72,Function Signature,Pattern mismatch,
V72,Function Signature,Pattern mismatch,
W72,Function Signature,Pattern mismatch,
T73,Function Signature,Pattern mismatch,
U73,Function Signature,Pattern mismatch,
V73,Function Signature,Pattern mismatch,
W73,Function Signature,Pattern mismatch,
T74,Function Signature,Pattern mismatch,
U74,Function Signature,Pattern mismatch,
W74,Function Signature,Pattern mismatch,
S75,Function Signature,Pattern mismatch,
U75,Function Signature,Pattern mismatch,
V75,Function Signature,Pattern mismatch,
S76,Function Signature,Pattern mismatch,
T76,Function Signature,Pattern mismatch,
U76,Function Signature,Pattern mismatch,
V76,Function Signature,Pattern mismatch,
W76,Function Signature,Pattern mismatch,
S77,Function Signature,Pattern mismatch,
T77,Function Signature,Pattern mismatch,
U77,Function Signature,Pattern mismatch,
V77,Function Signature,Pattern mismatch,
W77,Function Signature,Pattern mismatch,
S78,Function Signature,Pattern mismatch,
T78,Function Signature,Pattern mismatch,
U78,Function Signature,Pattern mismatch,
S79,Function Signature,Pattern mismatch,
T79,Function Signature,Pattern mismatch,
U79,Function Signature,Pattern mismatch,
V79,Function Signature,Pattern mismatch,
T80,Function Signature,Pattern mismatch,
U80,Function Signature,Pattern mismatch,
V80,Function Signature,Pattern mismatch,
W80,Function Signature,Pattern mismatch,
S81,Function Signature,Pattern mismatch,
T81,Function Signature,Pattern mismatch,
U81,Function Signature,Pattern mismatch,
V81,Function Signature,Pattern mismatch,"(Public int quantity( int chocko, int vanilla,int paper"
W81,Function Signature,Pattern mismatch,
S82,Function Signature,Pattern mismatch,
U82,Function Signature,Pattern mismatch,
V82,Function Signature,Pattern mismatch,
W82,Function Signature,Pattern mismatch,
O83,Variable Name,"Special character: "" """,door_open (boolean)
S83,Function Signature,Pattern mismatch,
T83,Function Signature,Pattern mismatch,
U83,Function Signature,Pattern mismatch,
V83,Function Signature,Pattern mismatch,
W83,Function Signature,Pattern mismatch,
S84,Function Signature,Pattern mismatch,
T84,Function Signature,Pattern mismatch,
U84,Function Signature,Pattern mismatch,
V84,Function Signature,Pattern mismatch,
W84,Function Signature,Pattern mismatch,
O85,Variable Name,Long name,"isOpened un cases that the state is Boolean, doorState otherwise"
S85,Function Signature,Pattern mismatch,
T85,Function Signature,Pattern mismatch,
U85,Function Signature,Pattern mismatch,
V85,Function Signature,Pattern mismatch,
W85,Function Signature,Pattern mismatch,
N86,Variable Name,Long name,nNumOfFloorsToMove / nDeltaFloor
S86,Function Signature,Pattern mismatch,
T86,Function Signature,Pattern mismatch,
U86,Function Signature,Long name,"No need for such function. The function does not need the file argument. If we insist then: CanFileBeEnlarged(cFile, nAdditionalFileSize, nAvailableDiskSpace)"
V86,Function Signature,Pattern mismatch,
W86,Function Signature,Pattern mismatch,
S87,Function Signature,Pattern mismatch,
T87,Function Signature,Pattern mismatch,
U87,Function Signature,Pattern mismatch,
V87,Function Signature,Pattern mismatch,
W87,Function Signature,Pattern mismatch,
T88,Function Signature,Pattern mismatch,
U88,Function Signature,Pattern mismatch,
W88,Function Signature,Pattern mismatch,
T89,Function Signature,Pattern mismatch,
V89,Function Signature,Pattern mismatch,
W89,Function Signature,"Special character: ""&""","def is_balance_positive (nBenefits_Month,nBenefits_Used): return nBenefit_Month-nBenefits_Used>0"
T90,Function Signature,Pattern mismatch,
U90,Function Signature,Pattern mismatch,
V90,Function Signature,Pattern mismatch,
W90,Function Signature,Pattern mismatch,
S91,Function Signature,Pattern mismatch,
T91,Function Signature,Pattern mismatch,
U91,Function Signature,Pattern mismatch,
V91,Function Signature,Pattern mismatch,
W91,Function Signature,Pattern mismatch,
S92,Function Signature,Pattern mismatch,
T92,Function Signature,Pattern mismatch,()grid.draw
U92,Function Signature,Pattern mismatch,
V92,Function Signature,Pattern mismatch,
W92,Function Signature,Pattern mismatch,
S93,Function Signature,Pattern mismatch,
T93,Function Signature,Pattern mismatch,
U93,Function Signature,Pattern mismatch,
V93,Function Signature,Pattern mismatch,
W93,Function Signature,Pattern mismatch,
S94,Function Signature,Pattern mismatch,
T94,Function Signature,Pattern mismatch,
U94,Function Signature,Pattern mismatch,
V94,Function Signature,Pattern mismatch,
T95,Function Signature,Pattern mismatch,
V95,Function Signature,Pattern mismatch,
W95,Function Signature,Pattern mismatch,
S96,Function Signature,Pattern mismatch,
T96,Function Signature,Pattern mismatch,
U96,Function Signature,Pattern mismatch,
V96,Function Signature,Pattern mismatch,
W96,Function Signature,Pattern mismatch,
S97,Function Signature,Pattern mismatch,
U97,Function Signature,Pattern mismatch,
V97,Function Signature,Pattern mismatch,
W97,Function Signature,Pattern mismatch,
S98,Function Signature,Pattern mismatch,
T98,Function Signature,Pattern mismatch,
U98,Function Signature,Pattern mismatch,
V98,Function Signature,Long name,"int calculatePotentialSandwiches(int numBiscuits, float numVanillaCups, long paperLengthCm, long paperWidthCm)"
S99,Function Signature,Pattern mismatch,
T99,Function Signature,Pattern mismatch,
V99,Function Signature,Pattern mismatch,
W99,Function Signature,Pattern mismatch,
S100,Function Signature,Pattern mismatch,
U100,Function Signature,Pattern mismatch,
V100,Function Signature,Pattern mismatch,
S101,Function Signature,Pattern mismatch,
T101,Function Signature,Pattern mismatch,
U101,Function Signature,Pattern mismatch,
V101,Function Signature,Pattern mismatch,
W101,Function Signature,Pattern mismatch,
T102,Function Signature,Pattern mismatch,
U102,Function Signature,Pattern mismatch,
V102,Function Signature,Pattern mismatch,
W102,Function Signature,Pattern mismatch,
T103,Function Signature,Pattern mismatch,
U103,Function Signature,Pattern mismatch,
W103,Function Signature,Pattern mismatch,
S104,Function Signature,Pattern mismatch,
T104,Function Signature,Pattern mismatch,
U104,Function Signature,Pattern mismatch,
V104,Function Signature,Pattern mismatch,
W104,Function Signature,Pattern mismatch,
D105,Variable Name,Long name,"lstVisitedRooms (אפשר לחלק את המבוך ל""חדרים"" ו""מעברים"" ולשמור אותם. כל ""חדר"" הוא מבוי סתום)."
E105,Variable Name,Long name,"mzMaze. שמכיל את מיקום הגבינה, מיקום העכבר הנוכחי, רשימת החברים שהעכבר ביקר בהם. ועץ החדרים(/מעברים). חדרים הם data structure קצת יותר מורכב אם לא מדובר במבוך עם מעברים מלבניים."
J105,Variable Name,Long name,"למה החלק הזה של השאלון באנגלית? לא אוהב כל כך את ההתייפיפות סביב ישראלים בישראל שמדברים אנגלית, במגזר ההייטק... לא מסתדר לי אידיאולוגית. לעניין השאלה: קלאסי לממש מטריצה (מערך של מערכים) שמכיל enums של: ריק, איקס, עיגול"
S105,Function Signature,Pattern mismatch,
T105,Function Signature,Long name,"התצוגה בדרך כלל רצה ב-thread נפרד, כך שפעולה שמתבצעת לא תתקע את ה-GUI. אם אני שומר את מצב הלוח במטריצה של enums, אז הייתי משתמש ב-updateBoardPresentation(matrix) כדי לעדכן את תצוגת הלוח."
U105,Function Signature,Long name,"bool IsEnoughSpaceForFileEnlarge(File file, double dNewSize, FileSystem fsFileSystem). כמובן שבתרחיש כזה לא מספיק לדעת *כמה* מקום פנוי יש על הדיסק, צריך גם לדעת כמה מקום פנוי רצוף יש על הדיסק. ה-FileSystem כבר ינהל איפה לשים את הקובץ. אם הייתי מקבל פרמטר כמה מקום פנוי רצוף הכי גדול יש על הדיסק, לא הייתי צריך פונקציה כדי לממש את הבדיקה הזו. בשורה אחת הייתי בודק. את הקובץ עצמו צריך רק כדי לחשב את המקום הפנוי הכי גדול על הדיסק כולל המקום של הקובץ הנוכחי, כמובן."
V105,Function Signature,Pattern mismatch,
S106,Function Signature,Pattern mismatch,
U106,Function Signature,Pattern mismatch,
V106,Function Signature,Long name,"int getNumOfSandwiches(int biscuits, int iceCreamCups, int wrappingPaperWidth, int wrappingPaperHeight)"
S107,Function Signature,Pattern mismatch,
T107,Function Signature,Pattern mismatch,
U107,Function Signature,Pattern mismatch,
V107,Function Signature,Pattern mismatch,
W107,Function Signature,Pattern mismatch,
S108,Function Signature,Pattern mismatch,
T108,Function Signature,Pattern mismatch,
U108,Function Signature,Pattern mismatch,
V108,Function Signature,Pattern mismatch,
W108,Function Signature,Pattern mismatch,
S109,Function Signature,Pattern mismatch,
U109,Function Signature,Pattern mismatch,
V109,Function Signature,Pattern mismatch,
W109,Function Signature,Pattern mismatch,
S110,Function Signature,Pattern mismatch,
U110,Function Signature,Pattern mismatch,
V110,Function Signature,Pattern mismatch,
W110,Function Signature,Pattern mismatch,
S111,Function Signature,Pattern mismatch,
T111,Function Signature,Pattern mismatch,
U111,Function Signature,Pattern mismatch,
V111,Function Signature,Pattern mismatch,
W111,Function Signature,Pattern mismatch,
S112,Function Signature,Pattern mismatch,
V112,Function Signature,Pattern mismatch,
W112,Function Signature,Pattern mismatch,
S113,Function Signature,Pattern mismatch,
T113,Function Signature,Pattern mismatch,
V113,Function Signature,Pattern mismatch,
W113,Function Signature,Pattern mismatch,
S114,Function Signature,Pattern mismatch,
T114,Function Signature,Pattern mismatch,
U114,Function Signature,Pattern mismatch,
V114,Function Signature,Pattern mismatch,
T115,Function Signature,Pattern mismatch,
U115,Function Signature,Pattern mismatch,
V115,Function Signature,Pattern mismatch,
W115,Function Signature,Pattern mismatch,
S116,Function Signature,Pattern mismatch,
T116,Function Signature,Pattern mismatch,
U116,Function Signature,Pattern mismatch,
V116,Function Signature,Pattern mismatch,
W116,Function Signature,Pattern mismatch,
L117,Variable Name,"Special character: ""=""",var1=designatedFloor
M117,Variable Name,"Special character: ""=""",var2=currentFloor
N117,Variable Name,"Special character: ""=""",var3=numOfFloorsToGo
S117,Function Signature,Pattern mismatch,
U117,Function Signature,Pattern mismatch,
V117,Function Signature,Pattern mismatch,
S118,Function Signature,Pattern mismatch,
U118,Function Signature,Pattern mismatch,
V118,Function Signature,Pattern mismatch,
W118,Function Signature,Pattern mismatch,
S119,Function Signature,Pattern mismatch,
T119,Function Signature,Pattern mismatch,
U119,Function Signature,Pattern mismatch,
V119,Function Signature,Pattern mismatch,
W119,Function Signature,Pattern mismatch,
S120,Function Signature,Pattern mismatch,
T120,Function Signature,Pattern mismatch,
U120,Function Signature,Pattern mismatch,
V120,Function Signature,Pattern mismatch,
W120,Function Signature,Pattern mismatch,
S121,Function Signature,Pattern mismatch,
T121,Function Signature,Pattern mismatch,
U121,Function Signature,Pattern mismatch,
V121,Function Signature,Pattern mismatch,
W121,Function Signature,Pattern mismatch,
T122,Function Signature,Pattern mismatch,
U122,Function Signature,Pattern mismatch,
V122,Function Signature,Pattern mismatch,
W122,Function Signature,Pattern mismatch,
P123,Variable Name,Long name,private static int MAX_BENEFITS_PER_MONTH = 4;
Q123,Variable Name,Long name,private static int MONEY_FOR_BEFIT = 2000;
R123,Variable Name,Long name,private int currentMonthBenefitsNum;
S123,Function Signature,Pattern mismatch,
T123,Function Signature,Pattern mismatch,
U123,Function Signature,Pattern mismatch,
V123,Function Signature,Pattern mismatch,
